stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine,juv_marine_updated
ABERNATHY_CR_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
ABERNATHY_F,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
ABERNATHY_NFH_F,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
ABERNATHY_RIVER,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
BIG CR HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
BIG_CR,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
BIG_CR_H_COL,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
BING_CR_HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
COLUMBIA R TULES,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
COWEEMAN,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
COWEEMAN_R_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
