"stock","Region1Name","Region2Name","Region3Name","Region4Name"
"ELWHA_FALL","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"FORKS_CR_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"FORKS_CREEK_HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HOH_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HOH_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HOH_RIVER_SP_S","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HOKO_H_FA","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HUMPTULIPS R 22.0004","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"HUMPTULIPS_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"MAKAH_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"NASELLE R    24.0543","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"NEMAH R      24.0460","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUEETS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUEETS R     21.0016","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUEETS_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUEETS_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUILAYUTE_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUILLAYUTE R 20.0096","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT LK   (21)","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT NFH -COOK C","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT R   21.0398","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"QUINAULT_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"R_CHEHALIS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SATSOP R     22.0360","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SOL DUC R   20.0096","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SOL_DUC_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SOL_DUC_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"SOLDUC_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"TSOO-YESS R      20.0015","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"VAN WINKLE C 22.0240","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"WILLAPA R    24.0251","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"WILLAPA_CR","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"YAQUINA_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS"
"ABERNATHY F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ABERNATHY_CR_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ABERNATHY_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ABERNATHY_NFH_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ABERNATHY_RIVER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COLUMBIA R TULES","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COWEEMAN","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COWEEMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COWLITZ R    26.0002","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"COWLITZ_H_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ELOCHOMAN R  25.0236","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"ELOCHOMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"MACKENZIE","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"NORTH SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"NORTH_SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"SANDY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"SANDY HATCHERY (SANDY R)","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"SANDY_R","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"SANDY_RIVER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"WASHOUGAL R  28.0159","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"WASHOUGAL_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR"
"BIG CR HATCHERY","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"BIG_CR","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"BIG_CR_H_COL","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS R EARLY","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS_N","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS_NO","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"CLACKAMAS_RIVER","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"MCKENZIE HATCHERY","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"MCKENZIE_H","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"MID WILLAMETTE R","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"N_SANTIAM_H","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"SANTIAM R N FK","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"SANTIAM R S FK","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"SANTIAM_RIVER_NORTH","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR"
"CHEWUCH SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHEWUCH_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHIWAWA SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"CHIWAWA_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ENTIAT","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ENTIAT_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"ENTIAT_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"GRANITE","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"GRANITE_CR","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN DAY MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_MAIN","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_N","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_NORTH","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHN_DAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"KLICKITAT_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"KLICKITAT_R_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"L_WH_SAL_H_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"LITTLENACHES_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"MF_JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"NACHES_RIVER","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"NACHES_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"NF_JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"SHITIKE_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
"TWISP_R_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR"
