"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"ROWDY CREEK HATCHERY","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ROWDY CREEK, SMITH R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WINCHUK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WINCHUK_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"EUCHRE_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"EUCHRE_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MINAM_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MINAM_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MINAM_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NECANICUM_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NEHALEM_RIVER","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA R (CEDAR CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NESTUCCA_RIVER_FALL","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK R (TRASK HT)","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK R HATCHERY","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_HATCHERY","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_HAT_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_HAT_SP","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TRASK_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"WILSON_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE RIVERS HATCHERY","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLUMBIA_ROGUE","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"DUNGENESS R  18.0018","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"DUNGENESS_H","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"DUNGENESS_R","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA R      18.0272","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOKO R       19.0148","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"BINGHAM_CR_HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"COOK CR      21.0429","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA_FALL","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ELWHA_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"FORKS CREEK HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"FORKS_CREEK_HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"FORKS_CR_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOH_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOH_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOH_RIVER_SP_S","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOKO FALLS HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HOKO_H_FA","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HUMPTULIPS HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HUMPTULIPS R 22.0004","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"HUMPTULIPS_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"KILCHIS_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"LONESOME CR HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"MAKAH NFH ON TSOO-YESS R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"MAKAH_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"NASELLE HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"NASELLE R    24.0543","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"NEMAH HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"NEMAH R      24.0460","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUEETS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUEETS R     21.0016","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUEETS_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUEETS_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUILAYUTE_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUILLAYUTE","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUILLAYUTE R 20.0096","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT LK   (21)","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT LK HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT NFH -COOK C","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT R   21.0398","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"QUINAULT_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SATSOP R     22.0360","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SHALE_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SOL DUC R   20.0096","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SOLDUC HATCHERY","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SOLDUC_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SOL_DUC_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"SOL_DUC_RIVER","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"TSOO-YESS R      20.0015","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"VAN WINKLE C 22.0240","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"WILLAPA","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"WILLAPA R    24.0251","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"WILLAPA_CR","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"WILLAPA_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"WILLIPA_CREEK","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"YAQUINA_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","WACST"
"ABERNATHY CR 25.0297","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ABERNATHY F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ABERNATHY_CR_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ABERNATHY_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ABERNATHY_NFH_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"ABERNATHY_RIVER","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"BIG CR HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"BIG_CR","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"BIG_CR_H_COL","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"BING_CR_HATCHERY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COLUMBIA R TULES","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWEEMAN","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
"COWEEMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","CR-lower_fa"
