"stock","Region1Name","Region2Name","Region3Name","Region4Name","id_type","pst_agg"
"N_SANTIAM_H","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
"CHEWUCH SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"CHEWUCH_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"CHIWAWA SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"CHIWAWA_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"ENTIAT","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"ENTIAT_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"ENTIAT_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"GRANITE","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"GRANITE_CR","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN DAY MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN_DAY_MAIN","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN_DAY_MID","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN_DAY_N","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN_DAY_NORTH","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHN_DAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"KLICKITAT_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"KLICKITAT_R_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"L_WH_SAL_H_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"LITTLENACHES_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"METHOW_R_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"MF_JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"NACHES_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"NF_JOHNDAY_R","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"SHITIKE_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"SPRING_CR_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"SPRING_CREEK_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"TWISP_R_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"TWISP_SP","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"U_YAKIMA_H","Mid_and_Upper_Columbia_R_sp","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-sp&su"
"ELOCHOMAN_H","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-bright"
"SPRING_CR_COL","Mid_Columbia_R_tule","Mid-Columbia Brights/Upriver Brights","Columbia","ColR","gsi","CR-bright"
"COWLITZ_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR","gsi","CR-sp&su"
"KALAMA_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR","gsi","CR-sp&su"
"LEWIS_H_SP","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR","gsi","CR-sp&su"
"WHITE_F","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR","gsi","CR-sp&su"
"WHITE_H","L_Columbia_R_sp","Spring Cowlitz","Columbia","ColR","gsi","CR-sp&su"
"DESCHUTES-F","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"HANFORD REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"HANFORD_REACH","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"L_DESCHUTES_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"L_WH_SAL_H_SF","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"MARION_DRAIN_FA","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"METHOW_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"OKANAGAN","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"OKANAGAN_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"OSOYOOS_RESID","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"PRIEST_RAPID_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"PRIEST_RAPIDS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"SILMILKAMEEN_S","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"U_DESCHUTES_R","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"UMATILLA_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"UMATILLA_H_FA","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WARM_SPRINGS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WELLS_H","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WENATCHEE SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WENATCHEE_H_SP","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WENATCHEE_R_SF","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WENATCHEE_R_SP","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"WENATCHEE_SU","U_Columbia_R_su/fa","Up-Columbia S-F","Columbia","ColR","gsi","CR-bright"
"CLEARWATERRFA","Snake_R_fa","Snake Fall","Snake","ColR","gsi","CR-bright"
"LYON'S_FERRY_F","Snake_R_fa","Snake Fall","Snake","ColR","gsi","CR-bright"
"LYONS_FERRY_H","Snake_R_fa","Snake Fall","Snake","ColR","gsi","CR-bright"
"NEZ_PERCET_H","Snake_R_fa","Snake Fall","Snake","ColR","gsi","CR-bright"
"SALMON_R_F","Snake_R_fa","Snake Fall","Snake","ColR","gsi","CR-bright"
"BEAR_VALLEY_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"CAMAS_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"CAPEHORN_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"CATHERINE_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"CHAMBERLAIN_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"CROOKED_FK_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"FRENCHMAN-SP","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"IMNAHA","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"IMNAHA_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"JOHNSON_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"JOHNSON_H","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"LOCHSA_R","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"LOLO_CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"LOOKINGGLASS_H","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MARSH CR","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
"MARSH CREEK","Snake_R_sp/su","Snake Sp-Su","Snake","ColR","gsi","CR-sp&su"
